id,name,source,prescription_required,retail_price,discounted_price,manufacturer,quantity,packaging_form,salts
source_6-75716,Dolo 1gm Tablet,source_6,False,45.58,40.11,micro labs,10 Tablet(s) in Strip,STRIP,Paracetamol / Acetaminophen(1.0 G)
source_2-39579,Dolo 1000mg Infusion,source_2,True,268.0,219.76,micro labs ltd,,,Paracetamol/Acetaminophen 1000mg
source_7-90343,Dolo 1000mg Tablet,source_7,False,45.58,35.1,micro labs ltd,10.0 tablets in 1 strip,,Paracetamol (1000mg)
source_1-65076,Dolo 1000 mg Tablet 10's,source_1,True,45.5,40.0,micro labs ltd,10,Strip | Tablet,PARACETAMOL-1000MG
source_1-65077,Dolo 120 mg Suspension 60 ml,source_1,False,40.0,35.2,micro labs ltd,60,Bottle | Suspension,PARACETAMOL-120MG
source_6-75717,Dolo 120mg Suspension 60ml,source_6,False,40.32,34.27,micro labs,60ml Suspension in Bottle,BOTTLE,Paracetamol / Acetaminophen(120.0 Mg/5ml)
source_2-39580,Dolo 120 Suspension,source_2,True,34.94,28.65,micro labs ltd,,,Paracetamol/Acetaminophen 120mg/5ml
source_3-2151,DOLO 156MG SYP 60ML,source_3,False,51.0,43.35,micro labs ltd,60,Bottle SYRUP,PARACETAMOL/ACETAMINOPHEN 156.25 MG /5ML
source_7-90345,Dolo 156.25mg Suspension,source_7,False,56.0,49.6,micro labs ltd,60.0 ml in 1 bottle,,Paracetamol (156.25mg/5ml)
source_1-65079,Dolo 156.25 mg Syrup 60 ml,source_1,False,56.0,49.3,micro labs ltd,60,Bottle | Syrup,PARACETAMOL-156.25MG
source_6-75718,Dolo 250mg Suspension 60ml,source_6,False,45.02,39.62,micro labs,60ml Suspension in Bottle,BOTTLE,Paracetamol / Acetaminophen(250.0 Mg)
source_3-2152,DOLO 250MG SYP 60ML,source_3,False,45.02,38.27,micro labs ltd,60,Bottle SYRUP,PARACETAMOL/ACETAMINOPHEN 250 MG /5ML
source_7-90346,Dolo 250 Oral Suspension,source_7,False,45.02,34.2,micro labs ltd,60.0 ml in 1 bottle,,Paracetamol (250mg/5ml)
source_1-65080,Dolo 250 Suspension 100 ml,source_1,False,75.0,66.0,micro labs ltd,100,Bottle | Suspension,PARACETAMOL-250MG
source_1-65081,Dolo 250 Suspension 60 ml,source_1,False,45.0,39.6,micro labs ltd,60,Bottle | Suspension,PARACETAMOL-250MG
source_6-75719,Dolo 500mg Strip Of 10 Tablets,source_6,False,13.58,13.58,micro labs,10 Tablet(s) in Strip,STRIP,Paracetamol / Acetaminophen(500.0 Mg)
source_6-75720,Dolo 500mg Strip Of 15 Tablets,source_6,False,14.95,13.16,micro labs,15 Tablet(s) in Strip,STRIP,Paracetamol / Acetaminophen(500.0 Mg)
source_3-2153,DOLO 500MG TAB 1X15,source_3,False,14.95,14.2,micro labs ltd,15,Strip TABLET,PARACETAMOL/ACETAMINOPHEN 500 MG
